h3,lat,lng,kw_total,kw_residential,kw_commercial,n_install,n_residential,n_commercial,area_m2,n_poly
89ad368c2abffff,-34.07160255713049,18.47330588082339,0.0,0.0,0.0,0,0,0,39.10261915415013,2
89ad368eb83ffff,-34.1031899813585,18.39709564663746,0.0,0.0,0.0,0,0,0,495.79892335686793,26
89ad368ce93ffff,-34.073730303421016,18.42923665458183,26.6,26.6,0.0,3,3,0,510.53624107991294,24
89ad368c607ffff,-34.08877672424053,18.486471935215345,10.5,0.0,10.5,1,0,1,1029.07007230269,16
89ad368c407ffff,-34.1049069247437,18.471184383169813,0.0,0.0,0.0,0,0,0,1217.4795051772787,42
89ad368cc5bffff,-34.07555483819098,18.423301705530193,0.0,0.0,0.0,0,0,0,24.90189015783893,3
89ad368c443ffff,-34.10125475496015,18.48305846143614,0.0,0.0,0.0,0,0,0,26.82012411321187,2
89ad368ed13ffff,-34.133690510694194,18.39339406038355,0.0,0.0,0.0,0,0,0,475.02999596820007,26
89ad368c637ffff,-34.087821251785755,18.478966189709023,10.6,10.6,0.0,2,2,0,233.52488361811004,14
89ad368c083ffff,-34.093778235652486,18.464909254611165,0.0,0.0,0.0,0,0,0,635.1104306214945,27
89ad36859cfffff,-34.14123193224561,18.331524785636567,0.0,0.0,0.0,0,0,0,580.331984384518,29
89ad368eda7ffff,-34.134549076576455,18.379955186568665,0.0,0.0,0.0,0,0,0,130.37353938280978,5
89ad36859c3ffff,-34.144013371421224,18.33309074543295,0.0,0.0,0.0,0,0,0,251.06224393251966,16
89ad368c38bffff,-34.07199468212913,18.456113732116695,0.0,0.0,0.0,0,0,0,519.1615612303825,24
89ad368edb7ffff,-34.13733049693261,18.381522227088062,0.0,0.0,0.0,0,0,0,451.14847950845825,22
89ad368c08bffff,-34.091474077395105,18.467093140541145,0.0,0.0,0.0,0,0,0,230.62679102413597,12
89ad368c2bbffff,-34.074385547706086,18.47487458756585,0.0,0.0,0.0,0,0,0,110.57275228929629,5
89ad368c38fffff,-34.07151618808076,18.452361853955956,15.21,15.21,0.0,4,4,0,1018.3919274162495,35
89ad368c087ffff,-34.09329990517241,18.461156741372793,0.0,0.0,0.0,0,0,0,851.5730358690118,44
89ad368c12fffff,-34.07603419333594,18.427052978313753,0.0,0.0,0.0,0,0,0,1037.5717779674683,28
89ad3688937ffff,-34.07835752157914,18.546801346486557,0.0,0.0,0.0,0,0,0,38.907252929595415,3
89ad368ceb7ffff,-34.06950880053232,18.41641575139811,0.0,0.0,0.0,0,0,0,202.81739003917642,4
89ad368c2cfffff,-34.07073050641748,18.48674694159071,0.0,0.0,0.0,0,0,0,32.29079939867293,2
89ad368c1c3ffff,-34.086299072512844,18.44676331340968,20.1,20.1,0.0,3,3,0,975.4910183032417,37
89ad368f267ffff,-34.08758293438055,18.538066213015565,0.0,0.0,0.0,0,0,0,15.338619376860315,1
89ad368d4c3ffff,-34.08018812162552,18.54086347921947,0.0,0.0,0.0,0,0,0,17.896027005455903,1
89ad368c07bffff,-34.07851724176826,18.46675482408342,0.0,0.0,0.0,0,0,0,42.358604621727935,5
89ad368cc63ffff,-34.07133282486763,18.410481238905017,0.0,0.0,0.0,0,0,0,21.139551354901535,2
89ad36859cbffff,-34.141714232106416,18.335275175684462,0.0,0.0,0.0,0,0,0,715.653866275959,38
89ad368ebb3ffff,-34.10222919359266,18.389593547207152,0.0,0.0,0.0,0,0,0,1590.427575509882,73
89ad368c0abffff,-34.08773490908205,18.458019717352126,0.0,0.0,0.0,0,0,0,479.626386774277,19
89ad368eb33ffff,-34.09436191591722,18.388643627510003,0.0,0.0,0.0,0,0,0,568.3762760192508,7
89ad36bb60fffff,-34.08917516889546,18.368324588717492,0.0,0.0,0.0,0,0,0,101.45198020904243,3
89ad368c42fffff,-34.09886451211441,18.46429400344298,0.0,0.0,0.0,0,0,0,56.93259250470939,3
89ad368cc73ffff,-34.074116131471534,18.412048474912908,4.4,4.4,0.0,1,1,0,391.0233706713316,7
89ad368c463ffff,-34.0975168259435,18.473983449993234,0.0,0.0,0.0,0,0,0,482.81977654823953,27
89ad368d45bffff,-34.072792411806795,18.543660572239663,0.0,0.0,0.0,0,0,0,16.80300752815575,1
89ad368c09bffff,-34.09425645908347,18.468661865485018,0.0,0.0,0.0,0,0,0,119.12775005492773,5
89ad368c0d3ffff,-34.0924302708346,18.474598471940816,0.0,0.0,0.0,0,0,0,430.750702752031,21
89ad368c097ffff,-34.096082257294185,18.462725342651176,0.0,0.0,0.0,0,0,0,107.89848763972006,5
89ad368c10fffff,-34.079775590193606,18.436123663171113,120.17,106.16999999999999,14.0,16,15,1,4164.450953055994,134
89ad368c633ffff,-34.08829904155274,18.48271901371578,440.0,0.0,440.0,1,0,1,9050.666770674283,20
89ad368ec57ffff,-34.13244844379216,18.424026807373433,0.0,0.0,0.0,0,0,0,611.3443138612904,29
89ad368c287ffff,-34.07716844103229,18.476443353802793,0.0,0.0,0.0,0,0,0,63.7314513390509,7
89ad368c123ffff,-34.07881726807333,18.428620640589525,0.0,0.0,0.0,0,0,0,217.41550876886066,6
89ad368c683ffff,-34.097123551017084,18.491179579483468,0.0,0.0,0.0,0,0,0,343.6578060233346,21
89ad368c0a3ffff,-34.09003898440344,18.455835875635017,0.0,0.0,0.0,0,0,0,304.3885997762914,17
89ad368c2c3ffff,-34.073513458800505,18.488315954949904,0.0,0.0,0.0,0,0,0,11.597987514213536,1
89ad368eba3ffff,-34.09944668206099,18.38802660600822,0.0,0.0,0.0,0,0,0,1579.8218298841457,71
89ad368c217ffff,-34.07208044308502,18.477058253103685,0.0,0.0,0.0,0,0,0,52.19594281518585,5
89ad368c61bffff,-34.08973176833424,18.493978070579296,0.0,0.0,0.0,0,0,0,17.082310766922127,1
89ad368c127ffff,-34.078337946640396,18.42486927613331,0.0,0.0,0.0,0,0,0,59.42663795588021,4
89ad368c62bffff,-34.08321168636648,18.483333803196167,0.0,0.0,0.0,0,0,0,9.826698132705365,1
89ad368f26bffff,-34.08575278301126,18.54400424478416,0.0,0.0,0.0,0,0,0,51.49629861546912,3
89ad368ed8fffff,-34.135991349628846,18.39120970572766,0.0,0.0,0.0,0,0,0,1104.5778475010964,56
89ad3685817ffff,-34.14594179524764,18.34809326542336,0.0,0.0,0.0,0,0,0,15.285239587205908,2
89ad368c6a3ffff,-34.0933860359932,18.482104193578646,0.0,0.0,0.0,0,0,0,128.7560999601095,10
89ad368c6cfffff,-34.09020912971797,18.497731284386873,0.0,0.0,0.0,0,0,0,20.117154775154557,2
89ad368c11bffff,-34.08303746720259,18.44144331799211,21.0,21.0,0.0,2,2,0,874.8214484317642,34
89ad368c297ffff,-34.079951237094534,18.478012179535206,15.05,15.05,0.0,3,3,0,140.09775361302036,8
89ad36bb64bffff,-34.08553266777623,18.380192793220566,29.0,0.0,29.0,1,0,1,822.3405316039286,16
89ad368c093ffff,-34.09656055390892,18.466477947481728,0.0,0.0,0.0,0,0,0,131.69062414707875,7
89ad368ebbbffff,-34.099927163053394,18.39177751483981,0.0,0.0,0.0,0,0,0,1264.9046549724362,54
89ad368c043ffff,-34.081778113748655,18.4720758804624,8.0,0.0,8.0,1,0,1,210.3012665756164,11
89ad368ceb3ffff,-34.0699883299316,18.420166742877253,25.8,25.8,0.0,2,2,0,545.1208563452649,20
89ad368892bffff,-34.073743996037734,18.551168755626808,0.0,0.0,0.0,0,0,0,51.14171164913909,3
89ad368c60fffff,-34.08647186347827,18.488655766897285,0.0,0.0,0.0,0,0,0,419.16854951149486,9
89ad368c133ffff,-34.081600245659985,18.430188362383106,6.6,6.6,0.0,1,1,0,403.698920003826,9
89ad368c437ffff,-34.10395042775403,18.463678721599194,0.0,0.0,0.0,0,0,0,117.92771535800242,4
89ad368c13bffff,-34.07929648259477,18.432372102944893,96.48,96.47999999999999,0.0,10,10,0,2465.0918088879002,115
89ad368c2b7ffff,-34.07621248346441,18.468938535702595,0.0,0.0,0.0,0,0,0,36.95750153794897,3
89ad368c057ffff,-34.08408274523089,18.469892104717136,0.0,0.0,0.0,0,0,0,65.62836090067603,1
89ad368c05bffff,-34.082256078335384,18.475828423843435,13.0,13.0,0.0,2,2,0,210.9707818351306,14
89ad368edafffff,-34.13224845733857,18.382139521875004,0.0,0.0,0.0,0,0,0,1147.2736996773592,12
89ad368c687ffff,-34.09664597011367,18.48742638339296,0.0,0.0,0.0,0,0,0,71.20213621056283,7
89ad3685857ffff,-34.14182448603709,18.356213043455902,0.0,0.0,0.0,0,0,0,177.0634043511935,11
89ad36bb653ffff,-34.090617876008345,18.379575604493176,0.0,0.0,0.0,0,0,0,81.16063683264665,4
89ad36889a7ffff,-34.08344642492378,18.546188046929856,0.0,0.0,0.0,0,0,0,86.35037493724454,3
89ad368c0cfffff,-34.08686535105865,18.47146083428758,0.0,0.0,0.0,0,0,0,10.246128860399203,1
89ad368c447ffff,-34.10077692058223,18.479305374717008,0.0,0.0,0.0,0,0,0,214.5949798075436,8
89ad368c28fffff,-34.0748633998108,18.478627051386148,0.0,0.0,0.0,0,0,0,64.19185516102928,3
89ad36859dbffff,-34.14449563768452,18.33684122745205,0.0,0.0,0.0,0,0,0,5.713374522379475,1
89ad368d4b3ffff,-34.08337172578482,18.525234170449526,0.0,0.0,0.0,0,0,0,31.059262370910826,2
89ad368c103ffff,-34.08255850029725,18.437691568279707,13.0,13.0,0.0,2,2,0,662.2367123401292,33
89ad368c2a7ffff,-34.07342952245271,18.4673699525706,0.0,0.0,0.0,0,0,0,93.61869834299802,7
89ad368c0a7ffff,-34.08956040602866,18.45208364936473,12.5,12.5,0.0,2,2,0,400.6515946934305,20
89ad368c43bffff,-34.10212489846901,18.469615511760026,0.0,0.0,0.0,0,0,0,86.24713698601434,5
89ad368c68fffff,-34.094341372782154,18.489610305227465,0.0,0.0,0.0,0,0,0,413.6214950746821,8
89ad368581bffff,-34.14412412841418,18.354028605563276,0.0,0.0,0.0,0,0,0,99.27424053669166,10
89ad3688963ffff,-34.07191258666596,18.55710666350058,0.0,0.0,0.0,0,0,0,24.617543706426524,2
89ad368583bffff,-34.1403790886325,18.344960669764344,0.0,0.0,0.0,0,0,0,101.17136955804993,4
89ad36bb647ffff,-34.08735411328177,18.37425864817531,0.0,0.0,0.0,0,0,0,37.42892229718273,2
89ad368c60bffff,-34.08694936590452,18.49240879178265,0.0,0.0,0.0,0,0,0,109.47181882222628,9
89ad3685813ffff,-34.14642363398909,18.35184414195761,0.0,0.0,0.0,0,0,0,95.62863881240416,7
89ad368c077ffff,-34.08034357783686,18.460818835841227,0.0,0.0,0.0,0,0,0,100.91082953721755,10
89ad3685803ffff,-34.143642362922776,18.350277722396438,0.0,0.0,0.0,0,0,0,54.366115317737716,4
89ad368c67bffff,-34.08186173221353,18.49302335195893,0.0,0.0,0.0,0,0,0,19.214425069478864,2
89ad368c6dbffff,-34.093468621133454,18.50305411686439,0.0,0.0,0.0,0,0,0,14.669414590970002,1
89ad368c44fffff,-34.0984726696443,18.48148934278264,0.0,0.0,0.0,0,0,0,792.0462659564904,79
89ad368eb9bffff,-34.10367021489612,18.40084684361624,0.0,0.0,0.0,0,0,0,110.28024045852764,4
89ad36bb643ffff,-34.08783494244485,18.378008993282837,0.0,0.0,0.0,0,0,0,20.087167928407357,1
89ad368c663ffff,-34.081384269036626,18.48927041267163,0.0,0.0,0.0,0,0,0,21.764976706517082,2
89ad3688973ffff,-34.07469515141599,18.558677326815907,0.0,0.0,0.0,0,0,0,143.51157417675066,10
89ad36bb60bffff,-34.08965617806619,18.372074828974434,24.0,24.0,0.0,1,1,0,434.70078004765475,11
89ad368c6b3ffff,-34.096168282094595,18.483673284767555,0.0,0.0,0.0,0,0,0,267.24836595541416,16
89ad368c1abffff,-34.0843831260814,18.43175614369553,15.92,15.92,0.0,2,2,0,241.34396801008035,9
89ad368c17bffff,-34.07516750786293,18.440491078885117,0.0,0.0,0.0,0,0,0,173.21541083781187,4
89ad368c44bffff,-34.09895043084178,18.485242435460563,0.0,0.0,0.0,0,0,0,100.827016210905,8
89ad3685827ffff,-34.13941495597962,18.337459580279514,0.0,0.0,0.0,0,0,0,204.0315038413437,12
89ad368ec03ffff,-34.13427031361235,18.4180901556846,0.0,0.0,0.0,0,0,0,485.27695900626844,23
89ad368d4d7ffff,-34.08249446994609,18.538679714631666,0.0,0.0,0.0,0,0,0,131.7734096675775,8
89ad368c627ffff,-34.0850387137087,18.47739727702624,10.5,10.5,0.0,1,1,0,466.06805315532546,26
89ad368eccfffff,-34.13522971690111,18.42559486244073,0.0,0.0,0.0,0,0,0,449.24020552331643,26
89ad368c067ffff,-34.077560709818584,18.459250408429977,27.64,27.64,0.0,4,4,0,750.1779891346974,38
89ad368c147ffff,-34.077950544811436,18.442059048248254,12.0,0.0,12.0,1,0,1,384.67974503969947,8
89ad368c033ffff,-34.084952265142476,18.456451294607774,5.0,5.0,0.0,1,1,0,845.8677277550358,18
89ad368d4a7ffff,-34.08011270658039,18.51991058285922,0.0,0.0,0.0,0,0,0,5.428060994910365,1
89ad368cc53ffff,-34.07785851830711,18.4211180096046,24.0,24.0,0.0,2,2,0,481.5645875018251,21
89ad368ec33ffff,-34.13331048214121,18.410585841076614,0.0,0.0,0.0,0,0,0,689.4820131570799,40
89ad368d51bffff,-34.0735938506907,18.509264426363057,0.0,0.0,0.0,0,0,0,11.853550110612721,1
89ad36858cfffff,-34.1446057869981,18.357779587269118,0.0,0.0,0.0,0,0,0,155.2761653457217,13
89ad368c6bbffff,-34.093863757939424,18.485857200665887,0.0,0.0,0.0,0,0,0,1849.0840778627528,42
89ad368c08fffff,-34.09099582009778,18.463340621251618,0.0,0.0,0.0,0,0,0,509.8923988749734,28
89ad368c06fffff,-34.0752560978632,18.461434107948488,0.0,0.0,0.0,0,0,0,128.43091866548758,7
89ad368ed87ffff,-34.138292051806246,18.389025325250017,0.0,0.0,0.0,0,0,0,358.8178441659746,15
89ad368c1dbffff,-34.086777791697706,18.450515350327564,0.0,0.0,0.0,0,0,0,300.091647189356,12
89ad368c173ffff,-34.07747161733047,18.438307384001245,36.120000000000005,0.0,36.120000000000005,2,0,2,1973.281506767724,32
89ad368c14bffff,-34.076125109517896,18.44799451748889,17.2,17.2,0.0,2,2,0,742.7895550719605,34
89ad368edcbffff,-34.13235022257688,18.403081918843483,0.0,0.0,0.0,0,0,0,118.4881982681302,4
89ad368ecabffff,-34.136091793210795,18.412153588709916,0.0,0.0,0.0,0,0,0,124.97522920070169,7
89ad368d5cbffff,-34.07454744206113,18.51677103311077,0.0,0.0,0.0,0,0,0,8.19512972582662,1
89ad36858c7ffff,-34.14690536582209,18.355595117050004,0.0,0.0,0.0,0,0,0,213.23726074708048,11
89ad368c3b3ffff,-34.07334204291608,18.446426424386424,0.0,0.0,0.0,0,0,0,198.9982366885074,6
89ad368c6b7ffff,-34.09569048697093,18.479920283635636,0.0,0.0,0.0,0,0,0,245.32767152894397,12
89ad3685e6bffff,-34.13684955905112,18.37777082547451,0.0,0.0,0.0,0,0,0,459.56571200512866,25
89ad368edc7ffff,-34.13417098120156,18.3971457697098,0.0,0.0,0.0,0,0,0,389.71177450392486,23
